experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,entity,entity_id,robot_index,assigned_load_label,active,battery_fraction,x,y,theta_rad,vx,vy,target_x,target_y,target_theta_rad,wrench_margin,wrench_residual_norm,support_level,paused,degraded_speed,event_phase
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-05,5,0,True,0.7728189468978429,5.655178111371737,-0.4352825994663853,,0.008031114339739348,-0.023314804581777013,5.655178111371737,-0.4352825994663853,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-06,6,1,True,0.7987229779518557,-0.17673153833113897,-4.031940987580613,,0.28508692085999165,0.5193311335189331,0.034521236212502804,-3.5631749689998964,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-07,7,0,True,0.770161755389551,6.057065803775847,0.7343980610577018,,0.0075257152780375276,0.021903342112004218,6.057065803775847,0.7343980610577018,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-08,8,1,True,0.724089426481652,-0.6965931125935448,-3.5410551112250057,,0.4789964492485881,0.5155127970279278,-0.1963281309525381,-3.063967026675758,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,load,load-01,,1,,,0.7377975780415691,-2.93497803568716,0.43314355534366644,0.39736805790474083,0.4759187184352103,5.76,3.0800000000000005,0.4537856055185257,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,load,load-02,,2,,,5.453976952482468,-0.002270855056715638,0.3252269505650349,0.0,0.0,5.76,-0.0,0.3141592653589793,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,load,load-03,,3,,,0.17595354049053238,3.718194230751262,0.21444323585319758,0.39353067791620255,-0.47909665573745586,5.76,-3.0800000000000005,0.17453292519943295,0.051498873283254865,0.0,1.0514988732832549,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-01,1,3,True,0.6315921813759517,-0.6973887744708641,3.2420239373552078,,0.38086958688384476,-0.412189492284818,-0.37824959411768383,2.9346424098857784,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-02,2,0,True,0.7722856925878563,4.26263284006646,-0.30889042849340703,,-0.014657874582883762,0.0014925605009691615,4.26263284006646,-0.30889042849340703,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-03,3,3,True,0.7042505252330938,-0.8330942099825784,3.9440275233664015,,0.39884210400378595,-0.5065735810558796,-0.4871707809655595,3.4737492407232757,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-04,4,3,True,0.6098014088980133,0.8609155397936777,3.588180402407744,,0.39013753867418943,-0.47507347043010045,1.1872505825945125,3.1846228025450465,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-05,5,0,True,0.7726237955213037,5.660729952537464,-0.45125380558424294,,0.007776018186834532,-0.02207556654615693,5.660729952537464,-0.45125380558424294,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-06,6,1,True,0.7941936064563155,0.06365985132300343,-3.700157617982008,,0.3172897497641727,0.5255608263246707,0.3060451668977885,-3.2225254502933076,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-07,7,0,True,0.7699080516549534,6.062149978436619,0.7493569517813233,,0.0068818563960492294,0.020583006045187768,6.062149978436619,0.7493569517813233,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,robot,amr-08,8,1,True,0.7163612944168174,-0.39038441935592727,-3.14782728180298,,0.48938302141840434,0.5056632284828574,0.08051195731854166,-2.7208933426916477,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,load,load-01,,1,,,1.0159552185748877,-2.6018349327825128,0.42252026425903955,0.39736805790474083,0.4759187184352103,5.76,3.0800000000000005,0.4537856055185257,0.0,0.0,1.0,False,False,post_event
