experiment,world_id,world_seed,treatment_seed,replicate,N_original,N_active,K,M,reserve_delta,failure_fraction_nominal,failure_fraction_realized,failure_count,recovery_feasible,theoretical_recoverable,theory_agreement,assignment_churn,relative_cost_increase,solver_ms,total_ms
failure,f056da8a2e9a8f798d53,2726586407,2215479209,32,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.16666666666666666,,0.0247,1.1371
failure,f056da8a2e9a8f798d53,2726586407,2493910925,32,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.34375,,0.0177,1.0151
failure,f056da8a2e9a8f798d53,2726586407,2075792120,32,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.25,,0.0155,0.8785
failure,70671fbc9f44cdec850d,1520037886,4037553850,33,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0347,1.2222
failure,70671fbc9f44cdec850d,1520037886,425194146,33,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.15789473684210525,,0.0307,1.1599
failure,70671fbc9f44cdec850d,1520037886,3628308464,33,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0204,1.0669
failure,70671fbc9f44cdec850d,1520037886,3613650697,33,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.21875,,0.0185,0.9556
failure,70671fbc9f44cdec850d,1520037886,237711890,33,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.17857142857142858,,0.0147,0.8602
failure,f9398f2df3042348d2d7,46810598,1594780570,34,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0411,1.1947
failure,f9398f2df3042348d2d7,46810598,638736072,34,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.10526315789473684,,0.0392,1.1629
failure,f9398f2df3042348d2d7,46810598,915437034,34,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.16666666666666666,,0.0266,1.1168
failure,f9398f2df3042348d2d7,46810598,2536008636,34,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.28125,,0.0207,0.9651
failure,f9398f2df3042348d2d7,46810598,2261143337,34,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.25,,0.015,0.8706
failure,9a498d0d2c863f72b059,1791669645,1087428356,35,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0421,1.1432
failure,9a498d0d2c863f72b059,1791669645,3127523268,35,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.0357,1.136
