t_s,method,robot,x_m,y_m,command_x_m,command_y_m,replay_error_m
35.76,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.76,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.76,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.76,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.76,distributed_pd_hocbf,1,1.7505754399999995,2.13363218,1.750575439565318,2.133632180018166,4.350610470625803e-10
35.76,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.76,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.88,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.88,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.88,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.88,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.88,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.88,distributed_pd_hocbf,1,1.682593100000001,2.10945987,1.682593100390691,2.109459867679247,2.3534087875419946e-09
35.88,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.88,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.0,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.0,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.0,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.0,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.0,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.0,distributed_pd_hocbf,1,1.6136060700000003,2.08490767,1.6136060692994283,2.0849076729051528,2.9884297890456928e-09
36.0,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.0,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.12,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.12,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.12,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.12,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.12,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.12,distributed_pd_hocbf,1,1.5436986300000006,2.06064416,1.5436986318903356,2.0606441569840475,3.5594009537518243e-09
36.12,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.12,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.24,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.24,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.24,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.24,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.24,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.24,distributed_pd_hocbf,1,1.4729499499999994,2.03707203,1.472949946270611,2.0370720260826287,5.408709228807224e-09
36.24,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.24,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.36,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.36,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.36,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.36,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.36,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.36,distributed_pd_hocbf,1,1.40145315,2.01438674,1.4014531485393613,2.0143867439182577,4.1816514704617265e-09
36.36,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.36,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.48,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.48,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.48,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
