campaign_id,experiment,world_key,world_seed,scenario,N,K,method,feasible,capacity_deficit,runtime_ms,rounds,messages,bytes,bytes_per_agent,max_parallel_commits,algorithm_status,arbitration_messages,transaction_messages
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r0,1002649154,corridor,48,12,geo_qpg_d,True,0.0,6678.649500012398,28,28070,1556200,32420.833333333332,11,LOCAL_MINIMUM,13656,603
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r1,1544136428,corridor,48,12,geo_qpg_u,True,0.0,47.068200015928596,126,3124,104044,2167.5833333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r1,1544136428,corridor,48,12,geo_qpg_d,True,0.0,3343.901000014739,28,23348,1068556,22261.583333333332,9,LOCAL_MINIMUM,12784,762
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r2,1841114456,corridor,48,12,geo_qpg_u,True,0.0,49.416900001233444,135,3255,108208,2254.3333333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r2,1841114456,corridor,48,12,geo_qpg_d,True,0.0,7113.350500003435,36,31863,1685532,35115.25,10,LOCAL_MINIMUM,16504,756
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r3,354003708,corridor,48,12,geo_qpg_u,True,0.0,55.110599991166964,104,2364,77668,1618.0833333333333,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r3,354003708,corridor,48,12,geo_qpg_d,True,0.0,7911.048399982974,28,23921,1465820,30537.916666666668,12,LOCAL_MINIMUM,10662,423
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r4,368547285,corridor,48,12,geo_qpg_u,True,0.0,53.47520002396777,131,3108,103276,2151.5833333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r4,368547285,corridor,48,12,geo_qpg_d,True,0.0,7563.3480999968015,35,28689,1643808,34246.0,9,LOCAL_MINIMUM,12420,819
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N64:K16:uniform:cv0.65:p0.8:r0,358920991,uniform,64,16,geo_qpg_u,True,0.0,93.62430000328459,180,5375,176076,2751.1875,1,LOCAL_MINIMUM,0,0
