K,N,abs_err,config_failed,config_id,experiment,lambda,n,r,regime,task_id,z_obs,z_star
5,11,2.8027703875816274e-27,False,30,H1,1.1868651519327882,3.0,0.6438975025512508,scarcity,4,2.8027703875816274e-27,0.0
5,11,2.7180467595749213e-37,False,30,H1,1.1868651519327882,3.0,0.5139362877082015,scarcity,5,2.7180467595749213e-37,0.0
3,11,1.3611740712349274e-07,False,31,H1,0.05879206376502971,3.0,1.1942624356428864,abundance,1,4.480397560289855,4.4803976964072625
3,11,1.374606295456715e-07,False,31,H1,0.05879206376502971,2.0,1.0063299316206331,abundance,2,3.389929875749195,3.3899300132098245
3,11,1.4306816575881953e-07,False,31,H1,0.05879206376502971,2.0,0.6218325046285311,abundance,3,3.129672147314731,3.1296722903828966
4,16,5.110223355586641e-10,False,32,H1,0.6154876533531156,4.0,1.2389840039155418,scarcity,1,4.006464012524978,4.006464013036
4,16,3.798716896596943e-10,False,32,H1,0.6154876533531156,3.0,1.2154071296158016,scarcity,2,2.9871902766688976,2.9871902770487693
4,16,4.441686485279206e-08,False,32,H1,0.6154876533531156,7.0,0.6310577515573133,scarcity,3,5.161468659189616,5.161468703606481
4,16,4.530466268803934e-08,False,32,H1,0.6154876533531156,6.0,0.6237538036503446,scarcity,4,3.844877051616509,3.8448770063118465
2,20,1.7182455458453205e-08,False,33,H1,0.05,4.0,1.1628642127635824,abundance,1,5.55133465146443,5.551334668646885
2,20,1.7394011564419998e-08,False,33,H1,0.05,7.0,0.9885840453515333,abundance,2,8.466174682326352,8.466174699720364
3,7,5.604205099984938e-09,False,34,H1,0.7982844417606688,5.0,1.1339751116810852,scarcity,1,4.56686256111708,4.566862566721285
3,7,7.034159477115054e-09,False,34,H1,0.7982844417606688,3.0,1.0551980423268246,scarcity,2,2.4331374262443104,2.43313743327847
3,7,1.2638609661230114e-08,False,34,H1,0.7982844417606688,7.0,0.5248594913862563,scarcity,3,1.2638609661230114e-08,0.0
5,24,5.956636073278787e-09,False,35,H1,0.20209631612709858,6.0,1.4330232216002112,abundance,1,6.9033891690329545,6.903389174989591
5,24,6.047668144049112e-09,False,35,H1,0.20209631612709858,2.0,1.3043609156129707,abundance,2,2.84818883047493,2.8481888365225982
5,24,6.0806613078057126e-09,False,35,H1,0.20209631612709858,6.0,1.2847634492521873,abundance,3,6.8392192175107756,6.839219223591437
5,24,6.297821819600813e-09,False,35,H1,0.20209631612709858,4.0,1.0960425532343727,abundance,4,4.743450613516505,4.743450619814327
5,24,6.512643313527633e-09,False,35,H1,0.20209631612709858,2.0,0.9673816015552915,abundance,5,2.6657521385694007,2.665752145082044
5,11,1.3146106425665494e-10,False,36,H1,1.0141497390285261,5.0,1.3677389537760112,scarcity,1,4.473164992203494,4.473164992072033
5,11,2.1952633599831017e-08,False,36,H1,1.0141497390285261,2.0,1.1060158207000108,scarcity,2,0.7992630408048956,0.799263018852262
5,11,4.869063152668218e-09,False,36,H1,1.0141497390285261,3.0,1.1031071573387257,scarcity,3,1.7831759870755768,1.7831759822065136
5,11,2.6953160148224242e-08,False,36,H1,1.0141497390285261,6.0,1.0307695905990535,scarcity,4,3.9443959799160324,3.9443960068691926
5,11,1.5810814282030934e-21,False,36,H1,1.0141497390285261,3.0,0.7326407419664337,scarcity,5,1.5810814282030934e-21,0.0
5,32,1.3906200635460664e-08,False,37,H1,0.05,2.0,1.3674906317523248,abundance,1,3.6357305960750352,3.6357305821688346
5,32,1.2377801894558615e-08,False,37,H1,0.05,4.0,1.2460142802434464,abundance,2,5.587363446884817,5.587363434507015
5,32,1.1230692820163313e-08,False,37,H1,0.05,7.0,0.9538968820762997,abundance,3,8.447346151209722,8.447346139979029
5,32,1.2976146379628517e-08,False,37,H1,0.05,4.0,0.7478395629513581,abundance,4,5.317983122180583,5.3179831092044365
5,32,1.4988957186545804e-08,False,37,H1,0.05,2.0,0.7366623629975811,abundance,5,3.309909865083197,3.3099098500942397
4,9,9.314510940328091e-09,False,38,H1,0.8103316459836103,7.0,1.3246641904563412,scarcity,1,6.772713203978151,6.772713213292662
4,9,1.4242978796374928e-08,False,38,H1,0.8103316459836103,2.0,1.0944336637564518,scarcity,2,1.4759448796635706,1.4759448939065494
4,9,2.062003190417272e-08,False,38,H1,0.8103316459836103,7.0,0.8103346739240744,scarcity,3,0.7513419162621533,0.7513418956421214
4,9,9.61248198485626e-11,False,38,H1,0.8103316459836103,2.0,0.6461732441926983,scarcity,4,9.61248198485626e-11,0.0
5,23,1.7485533021499577e-08,False,39,H1,0.10089618161696459,7.0,0.6746414709358527,abundance,1,7.869046716315114,7.869046733800647
5,23,1.758448053834627e-08,False,39,H1,0.10089618161696459,5.0,0.6536133951920586,abundance,2,5.85037719215048,5.850377209734961
5,23,1.778804348262497e-08,False,39,H1,0.10089618161696459,2.0,0.615490063665355,abundance,3,2.814642946023454,2.8146429638114974
5,23,1.820234851734881e-08,False,39,H1,0.10089618161696459,2.0,0.5553954091642601,abundance,4,2.75255204712159,2.7525520653239384
5,23,1.849240405249475e-08,False,39,H1,0.10089618161696459,3.0,0.52114801633644,abundance,5,3.7133810088365524,3.7133810273289565
3,12,2.8376252458883755e-09,False,40,H1,0.8075680636390536,5.0,1.00452623702223,scarcity,1,4.294482026568882,4.294482023731256
3,12,9.539135703562351e-09,False,40,H1,0.8075680636390536,5.0,0.8936304568320282,scarcity,2,3.8805226068225913,3.8805225972834556
3,12,1.2379213654156729e-08,False,40,H1,0.8075680636390536,6.0,0.8179910969520494,scarcity,3,3.824995366608526,3.82499537898774
