_grid,cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
protocolos,,,,,,,replicator,,,,0.0,251.4665436000214,nan,10.000666666694134,0,300.01999999979967,1.3142394822511345,11.37348267960953,960064,0,162.62033852338874,0,0,11,0,False,300.01999999979967,nan,0.0
protocolos,,,,,,,replicator,,,,0.0,281.6287406000192,nan,10.000666666694134,0,300.01999999979967,1.7767932082145148,13.69915545194785,1260084,0,164.09383038051985,0,0,23,0,False,300.01999999979967,nan,0.0
aptitud,,,,,vector,,smith,,,,0.0,193.57371670001885,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.15511289552010687,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.07794662180286238
aptitud,,,,,vector,,smith,,,,0.0,265.2260479000397,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.10330100722583446,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.19999999987678,2.6472522164877894,0.08033215332357013
aptitud,,,,,vector,,smith,,,,0.0,267.92937170004006,3.877947551928238,10.254344842682563,0,166.37999999992118,-0.18205733629241175,0.5943244790028468,999609,2,162.6431845327441,0,6,29,25193,True,166.39999999992116,2.0479334609045132,0.12015033994566737
aptitud,,,,,scalar,,smith,,,,0.0,429.8238017000258,3.7430335349227146,17.854256519280646,0,182.03999999990694,-0.0863949032146678,-0.019901143487409456,1690799,1,134.62033852338874,0,9,11,33807,False,300.01999999979967,3.634893591873095,0.15265958170409533
aptitud,,,,,scalar,,smith,,,,0.0,308.9967099999776,3.7024463786621613,12.456806896186212,0,225.23999999986765,-0.16182883497858241,1.15117463213066,1064760,2,136.09383038051985,0,6,23,16009,True,225.25999999986763,2.495261547122632,0.07155695935395912
planificador,,,,,,waypoint,smith,,,,0.0,104.33147269999608,3.693761532412899,8.356249773594628,0,109.15999999997321,-0.2013083338036582,-0.16522674782873104,620744,2,162.53916119675563,0,6,5,16345,True,109.17999999997319,2.3005559380422795,0.14554261170520988
planificador,,,,,,waypoint,smith,,,,0.0,131.58579540002393,3.4476467414737826,7.815735378430493,0,138.2199999999468,-0.07759454868649152,-0.13104230088696767,869444,2,164.95158979780044,0,6,17,17158,True,138.23999999994678,2.0934815118059524,0.07835685853851174
planificador,,,,,,waypoint,smith,,,,0.0,284.4033867000253,nan,19.83552058475321,0,300.01999999979967,-0.12553722178226503,12.181325036315243,844098,0,162.6431845327441,0,30,29,143689,False,300.01999999979967,nan,0.18801113947629838
