experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,4b9511207d88ba162ee2,197953869,10,uniform,Aleatorio,moderate,Moderada,0.35,0.3975596928039583,18,4,12,0.2,True,True,False,0.0,0.30861435489858735,2.238444155814182,True,True,0.0,False,15.1688,
heterogeneity,4b9511207d88ba162ee2,197953869,10,uniform,Aleatorio,high,Alta,0.65,0.612109327018525,18,4,12,0.2,True,False,True,1.5309148456792343,-1.167370982626025,3.0444150594781054,True,True,0.0,True,10.775,
heterogeneity,4b9511207d88ba162ee2,197953869,10,uniform,Aleatorio,extreme,Extrema,1.0,0.6675836928912693,18,4,12,0.2,True,False,True,0.48143863002090814,-0.48143863002090814,4.620703824556023,True,True,0.0,True,16.6489,
heterogeneity,d1d86965165680658e71,1233256265,11,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.2515340272844355,1.1261470463536754,True,True,0.0,False,2.1239,
heterogeneity,d1d86965165680658e71,1233256265,11,uniform,Aleatorio,low,Baja,0.15,0.14005807723355715,18,4,12,0.2,True,True,False,0.0,0.39583312380284497,1.1469348488672513,True,True,0.0,False,31.3115,
heterogeneity,d1d86965165680658e71,1233256265,11,uniform,Aleatorio,moderate,Moderada,0.35,0.343634506679551,18,4,12,0.2,True,False,True,0.6756550538498836,-0.6756550538498836,1.1516895977255526,True,True,0.0,True,40.2757,
heterogeneity,d1d86965165680658e71,1233256265,11,uniform,Aleatorio,high,Alta,0.65,0.8343728604859495,18,4,12,0.2,True,False,True,6.3918754762128085,-4.067432496427722,1.3886808803781059,True,True,0.0,True,25.0125,
heterogeneity,d1d86965165680658e71,1233256265,11,uniform,Aleatorio,extreme,Extrema,1.0,1.3186579069283646,18,4,12,0.2,True,False,True,6.426972814740619,-5.591313793512336,3.5734096776705453,True,True,0.0,True,6.8309,
heterogeneity,95927e763cffb1dace15,799451397,12,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,1.5413375256762833,3.355184231146701,True,True,0.0,False,2.1204,
heterogeneity,95927e763cffb1dace15,799451397,12,uniform,Aleatorio,low,Baja,0.15,0.0965554111809311,18,4,12,0.2,True,True,False,0.0,0.47070706250114824,3.1912878721384006,True,True,0.0,False,7.7074,
heterogeneity,95927e763cffb1dace15,799451397,12,uniform,Aleatorio,moderate,Moderada,0.35,0.2648099781158048,18,4,12,0.2,True,True,False,0.0,0.3934190187413691,3.4950092797108576,True,True,0.0,False,7.4238,
heterogeneity,95927e763cffb1dace15,799451397,12,uniform,Aleatorio,high,Alta,0.65,0.4902785310924781,18,4,12,0.2,True,False,True,3.490968878870163,-3.490968878870163,3.1511176920456814,True,True,0.0,True,2.516,
