seed,radius_m,speed_mps,omega_rad_s,feasible,naive_feasible,false_feasible,margin,utilization,limiting_robot,limiting_wheel
63100,0.2,0.0,0.7250000000000001,1,1,0,0.3736810140443736,0.6263189859556264,r4,right
63100,0.2,0.0,0.75,1,1,0,0.35208380763211056,0.6479161923678894,r4,right
63100,0.2,0.0,0.775,1,1,0,0.33048660121984763,0.6695133987801524,r4,right
63100,0.2,0.0,0.8,1,1,0,0.3088893948075846,0.6911106051924154,r4,right
63100,0.2,0.0,0.8250000000000001,1,1,0,0.28729218839532156,0.7127078116046784,r4,right
63100,0.2,0.0,0.8500000000000001,1,1,0,0.2656949819830585,0.7343050180169415,r4,right
63100,0.2,0.0,0.875,1,1,0,0.2440977755707956,0.7559022244292044,r4,right
63100,0.2,0.0,0.9,1,1,0,0.22250056915853256,0.7774994308414674,r4,right
63100,0.2,0.0,0.925,1,1,0,0.20090336274626963,0.7990966372537304,r4,right
63100,0.2,0.0,0.9500000000000001,1,1,0,0.17930615633400693,0.8206938436659931,r4,right
63100,0.2,0.0,0.9750000000000001,1,1,0,0.15770894992174367,0.8422910500782563,r4,right
63100,0.2,0.0,1.0,1,1,0,0.13611174350948085,0.8638882564905191,r4,right
63100,0.2,0.0,1.0250000000000001,1,1,0,0.1145145370972176,0.8854854629027824,r4,right
63100,0.2,0.0,1.05,1,1,0,0.09291733068495478,0.9070826693150452,r4,right
63100,0.2,0.0,1.075,1,1,0,0.07132012427269185,0.9286798757273081,r4,right
63100,0.2,0.0,1.1,1,1,0,0.04972291786042882,0.9502770821395712,r4,right
63100,0.2,0.0,1.125,1,1,0,0.02812571144816578,0.9718742885518342,r4,right
63100,0.2,0.0,1.1500000000000001,1,1,0,0.006528505035902743,0.9934714949640973,r4,right
63100,0.2,0.0,1.175,0,1,1,-0.015068701376360183,1.0150687013763602,r4,right
63100,0.2,0.0,1.2000000000000002,0,1,1,-0.03666590778862311,1.036665907788623,r4,right
63100,0.2,0.0,1.225,0,1,1,-0.05826311420088626,1.0582631142008863,r4,right
63100,0.2,0.0,1.25,0,1,1,-0.07986032061314896,1.079860320613149,r4,right
63100,0.2,0.0,1.2750000000000001,0,1,1,-0.10145752702541211,1.101457527025412,r4,right
63100,0.2,0.0,1.3,0,1,1,-0.12305473343767503,1.123054733437675,r4,right
63100,0.2,0.0,1.3250000000000002,0,1,1,-0.14465193984993818,1.1446519398499382,r4,right
63100,0.2,0.0,1.35,0,1,1,-0.1662491462622011,1.166249146262201,r4,right
63100,0.2,0.0,1.375,0,1,1,-0.1878463526744638,1.1878463526744638,r4,right
63100,0.2,0.0,1.4000000000000001,0,1,1,-0.20944355908672718,1.2094435590867272,r4,right
63100,0.2,0.0,1.425,0,1,1,-0.2310407654989899,1.2310407654989899,r4,right
63100,0.2,0.0,1.4500000000000002,0,1,1,-0.2526379719112528,1.2526379719112528,r4,right
63100,0.2,0.0,1.475,0,1,1,-0.27423517832351596,1.274235178323516,r4,right
63100,0.2,0.0,1.5,0,1,1,-0.2958323847357789,1.2958323847357789,r4,right
63100,0.2,0.1,0.0,1,1,0,0.7600310398637447,0.23996896013625532,r4,left
63100,0.2,0.1,0.025,1,1,0,0.7597073288519651,0.2402926711480349,r4,right
63100,0.2,0.1,0.05,1,1,0,0.7586441053462214,0.2413558946537786,r4,right
63100,0.2,0.1,0.07500000000000001,1,1,0,0.7567127472580405,0.24328725274195953,r4,right
63100,0.2,0.1,0.1,1,1,0,0.753801985859356,0.246198014140644,r4,right
63100,0.2,0.1,0.125,1,1,0,0.7498224933852492,0.2501775066147508,r4,right
63100,0.2,0.1,0.15000000000000002,1,1,0,0.7447097021544304,0.25529029784556956,r4,right
63100,0.2,0.1,0.17500000000000002,1,1,0,0.7384247631301857,0.26157523686981426,r4,right
63100,0.2,0.1,0.2,1,1,0,0.7309537868010043,0.26904621319899563,r4,right
63100,0.2,0.1,0.225,1,1,0,0.7223056850761012,0.2776943149238989,r4,right
63100,0.2,0.1,0.25,1,1,0,0.7125090295117975,0.28749097048820255,r4,right
63100,0.2,0.1,0.275,1,1,0,0.7016083598016369,0.2983916401983631,r4,right
63100,0.2,0.1,0.30000000000000004,1,1,0,0.6896603336794002,0.31033966632059984,r4,right
63100,0.2,0.1,0.325,1,1,0,0.6767300288772571,0.32326997112274297,r4,right
63100,0.2,0.1,0.35000000000000003,1,1,0,0.6308631879350847,0.36913681206491533,r3,left
63100,0.2,0.1,0.375,1,1,0,0.5290059348134379,0.4709940651865621,r3,left
63100,0.2,0.1,0.4,1,1,0,0.3658811610171162,0.6341188389828838,r3,left
63100,0.2,0.1,0.42500000000000004,1,1,0,0.0802213458714447,0.9197786541285553,r3,left
63100,0.2,0.1,0.45,0,1,1,-0.5117760726476002,1.5117760726476002,r3,left
63100,0.2,0.1,0.47500000000000003,0,1,1,-2.329123904660144,3.329123904660144,r3,left
63100,0.2,0.1,0.5,1,1,0,0.5646450579722369,0.4353549420277631,r4,right
63100,0.2,0.1,0.525,0,1,1,-3.0643341527562304,4.0643341527562304,r3,right
63100,0.2,0.1,0.55,0,1,1,-1.2469863207436944,2.2469863207436944,r3,right
63100,0.2,0.1,0.5750000000000001,0,1,1,-0.6549889022246502,1.6549889022246502,r3,right
63100,0.2,0.1,0.6000000000000001,0,1,1,-0.3693290870789794,1.3693290870789794,r3,right
63100,0.2,0.1,0.625,0,1,1,-0.20620431328265898,1.206204313282659,r3,right
63100,0.2,0.1,0.65,0,1,1,-0.10434706016101214,1.1043470601610121,r3,right
63100,0.2,0.1,0.675,0,1,1,-0.037499818853465205,1.0374998188534652,r3,right
63100,0.2,0.1,0.7000000000000001,1,1,0,0.007466165070269537,0.9925338349297305,r3,right
63100,0.2,0.1,0.7250000000000001,1,1,0,0.03784464407146226,0.9621553559285377,r3,right
63100,0.2,0.1,0.75,1,1,0,0.05801186962687621,0.9419881303731238,r3,right
63100,0.2,0.1,0.775,1,1,0,0.07075272903990515,0.9292472709600949,r3,right
63100,0.2,0.1,0.8,1,1,0,0.07792381384614533,0.9220761861538547,r3,right
63100,0.2,0.1,0.8250000000000001,1,1,0,0.08081045664716391,0.9191895433528361,r3,right
63100,0.2,0.1,0.8500000000000001,1,1,0,0.08033075215836483,0.9196692478416352,r3,right
