seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63207,0.8,1.0,1,1,1,0,0,0.6686495488225263,4.091022248199813e-17,0.2751193426781009,r3
63207,0.8,1.2,1,1,1,0,0,0.8023794585870316,3.6334571715005125e-16,0.27511934267810084,r1
63208,0.2,0.2,1,1,1,0,0,0.1941133594686043,7.065055611250996e-17,0.3029728740476337,r3
63208,0.2,0.4,1,1,1,0,0,0.3882267189372086,1.4130111222501992e-16,0.3029728740476337,r3
63208,0.2,0.6,1,1,1,0,0,0.5823400784058195,1.4937546149502107e-15,0.3029728740476436,r3
63208,0.2,0.8,1,1,1,0,0,0.7764534378744172,2.8260222445003984e-16,0.3029728740476337,r3
63208,0.2,1.0,1,1,1,0,0,0.9705667973430222,2.0185873175002846e-16,0.3029728740476342,r3
63208,0.2,1.2,1,1,0,1,1,1.164680156811639,2.9875092299004213e-15,0.3029728740476436,r3
63208,0.4,0.2,1,1,1,0,0,0.14995274735778255,8.074349270001139e-17,0.32171627350021376,r2
63208,0.4,0.4,1,1,1,0,0,0.2999054947155651,1.6148698540002277e-16,0.32171627350021376,r2
63208,0.4,0.6,1,1,1,0,0,0.44985824207334735,8.276208001751166e-16,0.32171627350021403,r2
63208,0.4,0.8,1,1,1,0,0,0.5998109894311302,3.2297397080004555e-16,0.32171627350021376,r2
63208,0.4,1.0,1,1,1,0,0,0.7497637367889125,3.930287056160517e-17,0.3217162735002143,r1
63208,0.4,1.2,1,1,1,0,0,0.8997164841466947,1.6552416003502333e-15,0.32171627350021403,r2
63208,0.6,0.2,1,1,1,0,0,0.13698721942148373,4.0371746350005693e-17,0.2914324054214394,r2
63208,0.6,0.4,1,1,1,0,0,0.27397443884296746,8.074349270001139e-17,0.2914324054214394,r2
63208,0.6,0.6,1,1,1,0,0,0.41096165826445585,3.027880976250427e-17,0.2914324054214306,r1
63208,0.6,0.8,1,1,1,0,0,0.5479488776859349,1.6148698540002277e-16,0.2914324054214394,r2
63208,0.6,1.0,1,1,1,0,0,0.6849360971074238,5.3431361723563945e-17,0.2914324054214339,r1
