v3_registry_id,identity_key,candidate_ids,title,authors,year,venue,doi,abstract,document_type,discovery_origins,provenance_sources,provenance_queries,legacy_screening_decisions,legacy_fulltext_status,legacy_evidence_status,metadata_status,v3_screening_status,v3_screening_reason,v3_allowed_use,duplicate_alias_count
CB36CA915D15A,doi:10.2139/ssrn.5066639,CB36CA915D15A,A Coalition Game for On-Demand Multi-Modal 3d Automated Delivery System,Farzan Moosavi; Bilal Farooq,2024,,10.2139/ssrn.5066639,,posted-content,historical_seed,crossref;stage1c_query_repair,Q8_game_dynamics,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C1F5945B729A7,doi:10.1002/oca.2090,C1F5945B729A7,A coalitional control scheme with applications to cooperative game theory,J. M. Maestre; David Muñoz de la Peña; A. Jiménez-Losada; Encarnación Algaba; Eduardo F. Camacho,2013,Optimal Control Applications and Methods,10.1002/oca.2090,,article,historical_seed,openalex;openalex_snowball,SB_B_C3EF72778D75A,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C18214CC3DB4F,doi:10.1109/tase.2009.2028577,C18214CC3DB4F,A Collaborative Multiagent Taxi-Dispatch System,Kiam Tian Seow; Nam Hai Dang; Der‐Horng Lee,2009,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2009.2028577,,article,historical_seed,openalex;openalex_snowball,SB_B_C20FBE73D7292;SB_B_C981388000750,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C2B650F32F8E3,title-year:a colony architecture for an artificial creature|1989,C2B650F32F8E3,A Colony Architecture for an Artificial Creature,Jonathan H. Connell,1989,DSpace@MIT (Massachusetts Institute of Technology),,,,v3_open_discovery,openalex,F05:foundational,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7A3289C4F44C,doi:10.1109/icmas.2000.858447,C7A3289C4F44C,A combinatorial auction for collaborative planning,Luke Hunsberger; Barbara J. Grosz,2002,,10.1109/icmas.2000.858447,,conference-paper,historical_seed,openalex;openalex_snowball,SB_B_C9A98F3EFEE56,maybe_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7306E5B9299C,doi:10.1109/tcc.2013.9,C7306E5B9299C,A Combinatorial Auction-Based Mechanism for Dynamic VM Provisioning and Allocation in Clouds,Sharrukh Zaman; Daniel Grosu,2013,IEEE Transactions on Cloud Computing,10.1109/tcc.2013.9,,article,historical_seed,openalex;openalex_snowball,SB_B_C0C34B3D7DD20;SB_B_CD4F0CFD7E495,maybe_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C959B748DA653,doi:10.1109/case59546.2024.10711443,C959B748DA653,A Comparative Analysis of Different Semi-Rigid Formation Geometries Regarding Multi-Robot Cooperative Object Transport for Large-Scale Objects,Tobias Recker; Henrik Lurz; Lukas Lachmayer; Annika Raatz,2024,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),10.1109/case59546.2024.10711443,,,v3_open_discovery,crossref,F06:primary;F09:primary,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CB741A99F7292,doi:10.3390/math13152355,CB741A99F7292,A Comparative Analysis of Fairness and Satisfaction in Multi-Agent Resource Allocation: Integrating Borda Count and K-Means Approaches with Distributive Justice Principles,Atef Gharbi; Mohamed Ayari; Nasser Albalawi; Yamen El Touati; Zeineb Klai,2025,Mathematics,10.3390/math13152355,,article,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_F_CC66E9A6E37AB,maybe_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C5F6D9BCC77EE,doi:10.1155/2013/256524,C5F6D9BCC77EE,A Comparative Study between Optimization and Market-Based Approaches to Multi-Robot Task Allocation,Mohamed Badrel-din; Ahmed Hussein; Alaa Khamis,2013,Advances in Artificial Intelligence,10.1155/2013/256524,,article,historical_seed,openalex;openalex_snowball,SB_B_C20FBE73D7292;SB_B_C1E34C4925F5C,include_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C1D5A80A4069C,doi:10.1016/j.asoc.2017.12.031,C1D5A80A4069C,A comparative study of improved GA and PSO in solving multiple traveling salesmen problem,Honglu Zhou; Mingli Song; Witold Pedrycz,2017,Applied Soft Computing,10.1016/j.asoc.2017.12.031,,article,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C614266B62F30,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CF1ACAD1DA841,doi:10.1007/978-3-540-88063-9_10,CF1ACAD1DA841,A Comparative Study of Task Assignment and Path Planning Methods for Multi-UGV Missions,Johan Thunberg; David A. Anisi; Petter Ögren,2008,Lecture notes in control and information sciences,10.1007/978-3-540-88063-9_10,,book-chapter,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C614266B62F30,maybe_fulltext,acquired_html,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C54230CF75E44,doi:10.1109/cec.2001.934381,C54230CF75E44,A comparison of approaches to the evolution of homogeneous multi-robot teams,Matt Quinn,2002,,10.1109/cec.2001.934381,,conference-paper,historical_seed,openalex;openalex_snowball,SB_B_C8620A2DF94BF,maybe_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
