world_hash,instance_hash,regime,n_coalitions,n_robots,seed,communication_edges,mean_degree,max_degree,components,connected,algebraic_connectivity,profile_space,oracle_certified,exact_identity_exhaustively_checked,exact_network_potential_verified,strict_potential_monotonicity,better_response_visible_nash,strict_moves,finite_move_bound,catalogue_has_conflict_free_profile,single_message_failure_probability,failure_after_five_retransmissions
d306848d335cc0e3ad005bbb63e0940188a38391ab5f9d7278734dad3d4f5f56,40881c9847cade1a32ac586063fdd7651b55ea8674456c985662d6fc0e5a13ce,bounded_delay,4,8,8810,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.0,0.0
7def12536a5be1d427e86eb90ec476de52c51a918a01de4f6d5b37fcde1d96bb,40881c9847cade1a32ac586063fdd7651b55ea8674456c985662d6fc0e5a13ce,independent_loss,4,8,8810,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.25,0.0009765625
fab8d04d39a8da453c82e3224a925770c3b907312da9e3c9df563924ded1dfac,40881c9847cade1a32ac586063fdd7651b55ea8674456c985662d6fc0e5a13ce,harsh_combined,4,8,8810,1,0.5,1,3,False,0.0,16,True,True,True,True,True,0,15,True,0.35,0.005252187499999998
e390fb60fd70c0420b52e09b556315aa973cd36e88a96c43b551fd44c4279494,efb3354048575a2c4f4a31c4a15bdc0e24672838bfb39b9e08b8e31349868cdd,nominal,4,8,8811,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.0,0.0
b7fa23aad147ed3b515e7878ef8d6c6424bc7733b5bcfe51cb8d9848519f6ba6,efb3354048575a2c4f4a31c4a15bdc0e24672838bfb39b9e08b8e31349868cdd,sparse_radio,4,8,8811,2,1.0,2,2,False,3.9250536344271737e-17,16,True,True,True,True,True,2,15,True,0.0,0.0
bf7c1fc5f9e57704cdafa0750648ec5e1c38aef97749f6bf23fefcffa86eeead,efb3354048575a2c4f4a31c4a15bdc0e24672838bfb39b9e08b8e31349868cdd,bounded_delay,4,8,8811,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.0,0.0
0d9c17b676b316275ec397a0541a04a2db782a516f9bf5e4010757c721ca84d6,efb3354048575a2c4f4a31c4a15bdc0e24672838bfb39b9e08b8e31349868cdd,independent_loss,4,8,8811,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.25,0.0009765625
92ed222a0364e7e972323526ebb06b51542da3278fbeff98899e830c5a69f7e2,efb3354048575a2c4f4a31c4a15bdc0e24672838bfb39b9e08b8e31349868cdd,harsh_combined,4,8,8811,2,1.0,2,2,False,3.9250536344271737e-17,16,True,True,True,True,True,2,15,True,0.35,0.005252187499999998
393fdfd855a782170a90e536e1520237074114074fc047249c0217e30f2be3ed,584e5b3698216fe83c49f12ab81343b21d866b1db6812fcfd2212cfce5600dba,nominal,4,8,8812,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.0,0.0
233a2ffecd769b76ddffa9bc7022893f17248550b40870fd0de180b9a075c83b,584e5b3698216fe83c49f12ab81343b21d866b1db6812fcfd2212cfce5600dba,sparse_radio,4,8,8812,0,0.0,0,4,False,0.0,16,True,True,True,True,True,2,15,True,0.0,0.0
3c83a1ba28952e8138a49b1bb91276914a2f123a5ac98bd21692988269528404,584e5b3698216fe83c49f12ab81343b21d866b1db6812fcfd2212cfce5600dba,bounded_delay,4,8,8812,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.0,0.0
